date,exdate,cp_flag,strike_price,best_bid,best_offer,exercise_style,strike_price_scaled,mid,Model Price,Market Price,Calibrated Sigma (σ),Calibrated Beta (β),Calibrated Forward Price,DD Implied Volatility,strike,vols,SABR Volatility
20201201,20201218,C,100000,3547.6,3570.5,E,100.0,3559.05,3546.7035777589363,3559.05,0.1866186344530255,0.48952750960552754,3672.334117572472,,,,
20201201,20201218,C,200000,3447.6,3470.5,E,200.0,3459.05,3447.2863953671153,3459.05,0.1866186344530255,0.48952750960552754,3672.334117572472,,,,
20201201,20201218,C,300000,3347.7,3370.6,E,300.0,3359.1499999999996,3347.869212975295,3359.1499999999996,0.1866186344530255,0.48952750960552754,3672.334117572472,,,,
20201201,20201218,C,400000,3247.7,3270.6,E,400.0,3259.1499999999996,3248.4520305834744,3259.1499999999996,0.1866186344530255,0.48952750960552754,3672.334117572472,4.622684307153165,,,
20201201,20201218,C,500000,3147.7,3170.6,E,500.0,3159.1499999999996,3149.0348481916535,3159.1499999999996,0.1866186344530255,0.48952750960552754,3672.334117572472,4.142791969193163,,,
20201201,20201218,C,600000,3054.1,3066.8,E,600.0,3060.45,3049.617665799833,3060.45,0.1866186344530255,0.48952750960552754,3672.334117572472,3.758728689110574,,,
20201201,20201218,C,650000,3004.2,3016.8,E,650.0,3010.5,2999.909074603923,3010.5,0.1866186344530255,0.48952750960552754,3672.334117572472,3.5921692147822717,,,
20201201,20201218,C,700000,2954.2,2966.8,E,700.0,2960.5,2950.2004834080126,2960.5,0.1866186344530255,0.48952750960552754,3672.334117572472,3.438988164954464,,,
20201201,20201218,C,750000,2904.2,2916.8,E,750.0,2910.5,2900.491892212102,2910.5,0.1866186344530255,0.48952750960552754,3672.334117572472,3.2972186154794385,,,
20201201,20201218,C,800000,2854.1,2866.8,E,800.0,2860.45,2850.7833010161917,2860.45,0.1866186344530255,0.48952750960552754,3672.334117572472,3.1652921508695226,,,
20201201,20201218,C,850000,2804.2,2816.9,E,850.0,2810.55,2801.0747098202814,2810.55,0.1866186344530255,0.48952750960552754,3672.334117572472,3.0419385742953313,,,
20201201,20201218,C,900000,2754.2,2766.9,E,900.0,2760.55,2751.366118624371,2760.55,0.1866186344530255,0.48952750960552754,3672.334117572472,2.926115190462838,,,
20201201,20201218,C,950000,2704.2,2716.9,E,950.0,2710.55,2701.657527428461,2710.55,0.1866186344530255,0.48952750960552754,3672.334117572472,2.816955802597191,,,
20201201,20201218,C,1000000,2654.2,2666.9,E,1000.0,2660.55,2651.9489362325503,2660.55,0.1866186344530255,0.48952750960552754,3672.334117572472,2.713733191471533,,,
20201201,20201218,C,1050000,2604.2,2616.9,E,1050.0,2610.55,2602.24034503664,2610.55,0.1866186344530255,0.48952750960552754,3672.334117572472,2.615831024164749,,,
20201201,20201218,C,1100000,2554.3,2566.9,E,1100.0,2560.6000000000004,2552.53175384073,2560.6000000000004,0.1866186344530255,0.48952750960552754,3672.334117572472,2.5227224911719652,,,
20201201,20201218,C,1150000,2504.3,2516.9,E,1150.0,2510.6000000000004,2502.8231626448196,2510.6000000000004,0.1866186344530255,0.48952750960552754,3672.334117572472,2.433953830679415,,,
20201201,20201218,C,1200000,2454.3,2466.9,E,1200.0,2460.6000000000004,2453.1145714489094,2460.6000000000004,0.1866186344530255,0.48952750960552754,3672.334117572472,2.349131459985059,,,
20201201,20201218,C,1225000,2429.3,2442.0,E,1225.0,2435.65,2428.2602758509543,2435.65,0.1866186344530255,0.48952750960552754,3672.334117572472,2.3080910475031886,,,
20201201,20201218,C,1250000,2404.3,2417.0,E,1250.0,2410.65,2403.405980252999,2410.65,0.1866186344530255,0.48952750960552754,3672.334117572472,2.2679118081297807,,,
20201201,20201218,C,1275000,2379.3,2392.0,E,1275.0,2385.65,2378.5516846550436,2385.65,0.1866186344530255,0.48952750960552754,3672.334117572472,2.228557279227912,,,
20201201,20201218,C,1300000,2354.3,2367.0,E,1300.0,2360.65,2353.6973890570885,2360.65,0.1866186344530255,0.48952750960552754,3672.334117572472,2.189993198097112,,,
20201201,20201218,C,1325000,2329.3,2342.0,E,1325.0,2335.65,2328.8430934591333,2335.65,0.1866186344530255,0.48952750960552754,3672.334117572472,2.15218732834005,,,
20201201,20201218,C,1350000,2304.3,2317.0,E,1350.0,2310.65,2303.988797861178,2310.65,0.1866186344530255,0.48952750960552754,3672.334117572472,2.115109302905745,,,
20201201,20201218,C,1375000,2279.3,2292.0,E,1375.0,2285.65,2279.134502263223,2285.65,0.1866186344530255,0.48952750960552754,3672.334117572472,2.0787304819188472,,,
20201201,20201218,C,1400000,2254.3,2267.0,E,1400.0,2260.65,2254.280206665268,2260.65,0.1866186344530255,0.48952750960552754,3672.334117572472,2.0430238236633738,,,
20201201,20201218,C,1425000,2229.3,2242.0,E,1425.0,2235.65,2229.425911067313,2235.65,0.1866186344530255,0.48952750960552754,3672.334117572472,2.0079637672846093,,,
20201201,20201218,C,1450000,2204.4,2217.0,E,1450.0,2210.7,2204.5716154693578,2210.7,0.1866186344530255,0.48952750960552754,3672.334117572472,1.973526125952882,,,
20201201,20201218,C,1475000,2179.4,2192.0,E,1475.0,2185.7,2179.7173198714027,2185.7,0.1866186344530255,0.48952750960552754,3672.334117572472,1.9396879893953682,,,
20201201,20201218,C,1500000,2154.4,2167.0,E,1500.0,2160.7,2154.8630242734475,2160.7,0.1866186344530255,0.48952750960552754,3672.334117572472,1.9064276348199918,,,
