date,exdate,cp_flag,strike_price,best_bid,best_offer,exercise_style,strike_price_scaled,mid,Model Price,Market Price,Calibrated Sigma (σ),Calibrated Beta (β),Calibrated Forward Price,DD Implied Volatility,strike,vols,SABR Volatility
20201201,20201218,C,25000,340.74,341.2,A,25.0,340.97,339.269846102545,340.97,0.20611068506132416,0.6949628175387729,366.8027316542716,,,,
20201201,20201218,C,50000,315.75,316.21,A,50.0,315.98,314.4155505045898,315.98,0.20611068506132416,0.6949628175387729,366.8027316542716,3.7627254761383773,,,
20201201,20201218,C,75000,290.75,291.21,A,75.0,290.98,289.56125490663464,290.98,0.20611068506132416,0.6949628175387729,366.8027316542716,2.996395872404374,,,
20201201,20201218,C,80000,285.75,286.21,A,80.0,285.98,284.59039578704363,285.98,0.20611068506132416,0.6949628175387729,366.8027316542716,2.87640955887974,,,
20201201,20201218,C,85000,280.75,281.21,A,85.0,280.98,279.6195366674526,280.98,0.20611068506132416,0.6949628175387729,366.8027316542716,2.764127808657491,,,
20201201,20201218,C,90000,275.76,276.21,A,90.0,275.985,274.64867754786155,275.985,0.20611068506132416,0.6949628175387729,366.8027316542716,2.6586225592030375,,,
20201201,20201218,C,95000,270.76,271.21,A,95.0,270.985,269.67781842827054,270.985,0.20611068506132416,0.6949628175387729,366.8027316542716,2.5591216974972713,,,
20201201,20201218,C,100000,265.76,266.21,A,100.0,265.985,264.70695930867953,265.985,0.20611068506132416,0.6949628175387729,366.8027316542716,2.464976112286341,,,
20201201,20201218,C,105000,260.76,261.22,A,105.0,260.99,259.73610018908846,260.99,0.20611068506132416,0.6949628175387729,366.8027316542716,2.3756349825924277,,,
20201201,20201218,C,110000,255.76,256.22,A,110.0,255.99,254.76524106949745,255.99,0.20611068506132416,0.6949628175387729,366.8027316542716,2.2906269541667474,,,
20201201,20201218,C,115000,250.76,251.22,A,115.0,250.99,249.7943819499064,250.99,0.20611068506132416,0.6949628175387729,366.8027316542716,2.2095456001454963,,,
20201201,20201218,C,120000,245.76,246.22,A,120.0,245.99,244.8235228303154,245.99,0.20611068506132416,0.6949628175387729,366.8027316542716,2.132038048932974,,,
20201201,20201218,C,125000,240.76,241.22,A,125.0,240.99,239.85266371072436,240.99,0.20611068506132416,0.6949628175387729,366.8027316542716,2.057795987418203,,,
20201201,20201218,C,130000,235.77,236.22,A,130.0,235.995,234.88180459113332,235.995,0.20611068506132416,0.6949628175387729,366.8027316542716,1.986548469040888,,,
20201201,20201218,C,135000,230.77,231.22,A,135.0,230.995,229.9109454715423,230.995,0.20611068506132416,0.6949628175387729,366.8027316542716,1.918056109630469,,,
20201201,20201218,C,140000,225.76,226.22,A,140.0,225.99,224.94008635195127,225.99,0.20611068506132416,0.6949628175387729,366.8027316542716,1.8521063620481217,,,
20201201,20201218,C,145000,220.76,221.22,A,145.0,220.99,219.96922723236023,220.99,0.20611068506132416,0.6949628175387729,366.8027316542716,1.7885096378705976,,,
20201201,20201218,C,150000,215.77,216.22,A,150.0,215.995,214.9983681127692,215.995,0.20611068506132416,0.6949628175387729,366.8027316542716,1.7270961003222305,,,
20201201,20201218,C,155000,210.77,211.23,A,155.0,211.0,210.02750899317817,211.0,0.20611068506132416,0.6949628175387729,366.8027316542716,1.6677129936993622,,,
20201201,20201218,C,160000,205.77,206.23,A,160.0,206.0,205.05664987358713,206.0,0.20611068506132416,0.6949628175387729,366.8027316542716,1.6102224049790594,,,
20201201,20201218,C,165000,200.77,201.23,A,165.0,201.0,200.0857907539961,201.0,0.20611068506132416,0.6949628175387729,366.8027316542716,1.5544993761432866,,,
20201201,20201218,C,170000,195.77,196.23,A,170.0,196.0,195.11493163440508,196.0,0.20611068506132416,0.6949628175387729,366.8027316542716,1.5004303030424142,,,
20201201,20201218,C,175000,190.78,191.23,A,175.0,191.005,190.14407251481404,191.005,0.20611068506132416,0.6949628175387729,366.8027316542716,1.447911569835305,,,
20201201,20201218,C,180000,185.78,186.23,A,180.0,186.005,185.173213395223,186.005,0.20611068506132416,0.6949628175387729,366.8027316542716,1.3968483782391157,,,
20201201,20201218,C,185000,180.78,181.24,A,185.0,181.01,180.202354275632,181.01,0.20611068506132416,0.6949628175387729,366.8027316542716,1.3471537387347408,,,
20201201,20201218,C,190000,175.78,176.24,A,190.0,176.01,175.23149515604095,176.01,0.20611068506132416,0.6949628175387729,366.8027316542716,1.2987475970700113,,,
20201201,20201218,C,195000,170.79,171.24,A,195.0,171.015,170.2606360364499,171.015,0.20611068506132416,0.6949628175387729,366.8027316542716,1.2515560742866583,,,
20201201,20201218,C,196000,169.79,170.24,A,196.0,170.015,169.2664642125317,170.015,0.20611068506132416,0.6949628175387729,366.8027316542716,1.2422574174368295,,,
20201201,20201218,C,197000,168.79,169.24,A,197.0,169.015,168.2722923886135,169.015,0.20611068506132416,0.6949628175387729,366.8027316542716,1.2330040726306912,,,
20201201,20201218,C,198000,167.79,168.24,A,198.0,168.015,167.2781205646953,168.015,0.20611068506132416,0.6949628175387729,366.8027316542716,1.2237955253105197,,,
20201201,20201218,C,199000,166.79,167.24,A,199.0,167.015,166.2839487407771,167.015,0.20611068506132416,0.6949628175387729,366.8027316542716,1.2146312684433487,,,
20201201,20201218,C,200000,165.79,166.25,A,200.0,166.01999999999998,165.2897769168589,166.01999999999998,0.20611068506132416,0.6949628175387729,366.8027316542716,1.2055108023600078,,,
20201201,20201218,C,201000,164.79,165.25,A,201.0,165.01999999999998,164.2956050929407,165.01999999999998,0.20611068506132416,0.6949628175387729,366.8027316542716,1.1964336345894886,,,
